ID,Nombre,Apellido,Mail,Ingreso,Compras mensuales un pago,Compras mensuales cuotas,Pagos crédito,Ahorro,Frecuencia de compras un pago,Frecuencia de compras cuotas
238,Leicester,Ende,lende6l@example.com,2550.83,426.65,2498.45,1401.45,376.55,0.1489,0.51
239,Buck,Vasyukhin,bvasyukhin6m@nature.com,7489.33,2319.14,2224.29,2967.52,231.34,0.6283,0.4373
240,Klemens,Turtle,kturtle6n@weibo.com,9780.42,4330.01,1447.15,1791.3,1397.42,0.8584,0.8082
241,Kariotta,Lowcock,klowcock6o@blinklist.com,5000.57,3339.92,1715.41,13.9,1338.35,0.8426,0.5662
242,Riobard,Shawdforth,rshawdforth6p@paypal.com,3083.6,1166.88,3801.72,1383.13,445.08,0.7846,0.2545
243,Arlene,Zanicchi,azanicchi6q@bizjournals.com,6842.23,725.39,3040.68,2993.02,1597.6,0.289,0.3695
244,Odilia,Curd,ocurd6r@cdc.gov,2628.2,1411.04,3239.65,1478.81,1215.53,0.011,0.97
245,Shoshanna,Klejin,sklejin6s@meetup.com,5126.15,3075.59,3060.87,2377.23,165.7,0.3262,0.8108
246,Timmy,Takis,ttakis6t@miibeian.gov.cn,9766.54,2458.16,366.4,726.65,1456.26,0.6427,0.6386
247,Dre,Albrooke,dalbrooke6u@hp.com,4186.98,396.87,3113.79,602.36,780.03,0.7572,0.3304
248,Cobb,Tamblingson,ctamblingson6v@woothemes.com,7820.63,4769.03,156.11,672.68,949.28,0.0191,0.9474
249,Chicky,Christoforou,cchristoforou6w@google.fr,3899.35,1280.74,3689.71,2879.45,1722.13,0.312,0.3094
250,Maitilde,Barbery,mbarbery6x@flavors.me,,3922.23,3442.21,86.04,1800.56,0.6054,0.5106
251,Goldina,Toby,gtoby6y@google.de,6662.24,2219.58,1834.66,1610.17,14.18,0.038,0.9374
252,Sibylla,Hovy,shovy6z@state.tx.us,4542.46,4320.77,582.93,1403.09,1202.84,0.3893,0.4069
253,Hi,Ahlf,hahlf70@webmd.com,10867.33,3301.47,1170.7,1572.21,1361.97,0.3573,0.714
254,Harp,Sherborn,hsherborn71@skype.com,6026.42,3438.61,3898.73,11.59,1247.35,0.752,0.5887
255,Beatrix,Sullly,bsullly72@1und1.de,11999.6,,2362.78,2441.07,,0.1084,0.8538
256,Chelsae,Muggeridge,cmuggeridge73@unicef.org,716.0,537.01,2563.44,16.46,194.76,0.6801,0.3883
257,Wait,Wraith,wwraith74@diigo.com,6385.84,2200.34,2835.5,1897.33,570.72,0.7774,0.5892
258,Rudy,Stores,rstores75@sourceforge.net,10855.84,3223.29,2568.4,2565.28,15.26,0.6727,0.0837
259,Bendite,Canceller,bcanceller76@disqus.com,8837.96,1559.08,927.83,1651.81,1390.97,0.1194,0.5652
260,Ambros,Roberts,aroberts77@ehow.com,3121.02,2430.84,,1232.33,223.14,0.3303,0.4902
261,Scotty,Raiman,sraiman78@yahoo.co.jp,5989.91,4049.31,3898.91,2319.77,475.81,0.1913,0.0172
262,Colman,Girard,cgirard79@irs.gov,10472.73,,2441.13,275.75,,0.6027,0.5057
263,Joby,Prine,jprine7a@wp.com,8919.31,243.01,3857.98,1154.21,1352.48,0.359,0.5425
264,Bernhard,Wiggett,bwiggett7b@unblog.fr,3043.41,837.68,1569.04,963.91,1609.67,0.5275,0.3308
265,Demetris,Lindfors,dlindfors7c@aboutads.info,8917.99,714.85,613.11,1562.77,1508.95,0.8845,0.2298
266,Briant,Kedie,bkedie7d@123-reg.co.uk,9129.49,2936.73,1117.85,2955.6,678.67,0.289,0.3558
267,Suellen,Lowdyane,slowdyane7e@edublogs.org,668.28,3300.03,2027.47,1708.1,1831.81,0.6201,0.5306
268,Batholomew,Queripel,bqueripel7f@123-reg.co.uk,1733.51,2230.04,1572.95,1049.75,863.25,0.0148,0.7503
269,Tiffany,Bassill,tbassill7g@wired.com,98.52,1366.1,943.84,1239.76,1464.0,0.26,0.5549
270,Barris,Dommerque,bdommerque7h@nydailynews.com,3385.04,4621.95,2904.02,377.81,1962.41,,0.087
271,Greer,Arbon,garbon7i@upenn.edu,3694.83,3931.5,1557.31,1398.71,990.55,0.1628,0.8414
272,Garwin,Wank,gwank7j@utexas.edu,,4056.07,3103.87,1839.89,692.41,0.365,0.2109
273,Ketti,Thwaite,kthwaite7k@cbsnews.com,5246.91,,441.81,2551.55,,0.2895,0.949
274,Cchaddie,Matzen,cmatzen7l@parallels.com,3597.46,4172.78,3213.16,423.08,784.36,0.8939,0.0587
275,Robbyn,Espinosa,respinosa7m@hubpages.com,4257.63,1461.48,2043.88,2676.35,105.26,0.1258,0.6188
276,Radcliffe,Deacon,rdeacon7n@freewebs.com,6655.64,,3378.77,,,0.657,
277,Brooks,Gallahue,bgallahue7o@indiatimes.com,1350.78,2181.05,2716.74,106.64,668.4,0.7087,0.5204
278,Flint,Sanney,fsanney7p@ihg.com,3474.07,826.69,199.16,,1009.67,0.0225,
279,Nevil,Southorn,nsouthorn7q@topsy.com,6384.29,2358.26,2469.59,2297.02,1386.07,0.0532,0.151
280,Mandel,Exer,mexer7r@histats.com,3584.1,829.39,2507.78,1481.21,578.84,0.6288,0.4037
281,Amalea,Clilverd,aclilverd7s@nba.com,4530.38,261.65,1291.56,1866.85,1062.8,0.3505,0.1451
282,Grazia,Riches,griches7t@nifty.com,3176.11,999.05,2868.75,400.25,1030.88,0.3679,0.5936
283,Naoma,Fragino,nfragino7u@nytimes.com,312.51,861.61,2166.39,435.64,1412.45,0.247,0.2499
284,Nertie,Briskey,nbriskey7v@bloomberg.com,4904.5,2971.71,3713.34,958.66,1124.85,0.3516,0.1894
285,Kathi,O'Downe,kodowne7w@prnewswire.com,7410.97,369.47,3449.75,2983.64,1473.64,0.9979,0.7141
286,Lelia,Brigden,lbrigden7x@yale.edu,1190.34,4070.63,1614.65,2148.37,1119.09,0.758,0.0138
287,Dixie,Duchesne,dduchesne7y@mashable.com,1163.68,,1772.46,1790.69,,0.1083,0.4948
288,Cynde,Alger,calger7z@joomla.org,4519.02,1647.31,250.61,1867.54,1275.31,0.6325,0.98
289,Thomasin,Lamberteschi,tlamberteschi80@twitter.com,6398.58,3333.97,1234.72,1286.51,436.32,0.0429,0.4073
290,Candis,Braham,cbraham81@usnews.com,2715.95,402.12,1002.58,1914.55,373.73,0.714,0.0131
291,Averil,Dolbey,adolbey82@umich.edu,419.61,1349.9,3848.65,1341.34,1685.33,0.1617,0.5137
292,Brandon,Alessandrini,balessandrini83@slashdot.org,1467.04,4778.27,1445.76,1613.28,1802.85,0.8663,0.9769
293,Ambrose,Biernacki,abiernacki84@wisc.edu,1089.86,302.05,1696.41,24.07,998.81,0.8235,0.0086
294,Meaghan,Normaville,mnormaville85@bloglovin.com,3102.51,3971.83,3762.22,401.84,228.35,0.7972,0.0233
295,Ava,Attenbrow,aattenbrow86@tuttocitta.it,2556.37,822.44,112.28,532.47,1876.67,,0.5443
296,Diego,Elcum,delcum87@miibeian.gov.cn,10332.65,2188.07,1777.53,,1845.8,0.2296,
297,Joete,Hexum,jhexum88@soup.io,6690.1,74.99,,166.63,739.97,0.5219,0.7514
298,Kristos,Cordon,kcordon89@google.de,2469.46,2058.13,1107.97,300.34,333.19,0.2318,0.1089
299,Rainer,Corrin,rcorrin8a@soundcloud.com,5262.15,,,1388.46,,0.0897,0.45
300,Ezmeralda,Rhodef,erhodef8b@scribd.com,8213.81,4598.94,3352.3,158.54,1774.53,0.1385,0.188
301,Ashlen,Loveredge,aloveredge8c@salon.com,10332.77,3733.73,2641.76,844.22,1144.73,0.689,0.2937
302,Niki,Wherry,nwherry8d@mapy.cz,2547.87,230.8,,1743.68,1514.61,0.0355,0.6528
303,Raye,Heatley,rheatley8e@unesco.org,2104.2,4769.65,2611.46,2114.74,728.29,0.9063,0.0172
304,Janifer,Grimmett,jgrimmett8f@redcross.org,2461.77,1282.52,2233.93,2250.06,1914.02,0.2912,0.4185
305,Ruby,Shinfield,rshinfield8g@walmart.com,423.43,104.72,,774.69,1195.29,0.2739,0.7681
306,Mel,Oneile,moneile8h@yellowbook.com,3005.26,3170.8,1316.5,1002.16,1279.15,0.4817,0.6377
307,Matilde,Krochmann,mkrochmann8i@patch.com,5504.5,1881.64,758.23,933.79,1092.06,0.6168,0.6096
308,Mendel,Dearsley,mdearsley8j@cbslocal.com,1200.03,291.78,2305.03,1918.32,1016.56,0.2983,0.1297
309,Napoleon,Pley,npley8k@skyrock.com,9566.19,2173.08,2446.27,1469.38,19.53,0.8487,0.0849
310,Gustavus,Slides,gslides8l@ed.gov,1740.5,546.79,2880.98,1534.77,1801.7,0.5424,0.4235
311,Dorian,Heinonen,dheinonen8m@phpbb.com,3949.88,151.96,1467.06,159.06,1115.09,0.7482,0.3831
312,Marji,Lindenblatt,mlindenblatt8n@feedburner.com,2649.82,4801.83,1020.05,756.61,1265.99,0.1008,0.583
313,Cosmo,Pickerin,cpickerin8o@creativecommons.org,,2332.58,3915.88,,1874.98,0.1861,
314,Maridel,Broomhall,mbroomhall8p@joomla.org,5117.69,2516.37,2693.99,1087.18,850.17,0.3542,0.2111
315,Nicolette,O'Nolan,nonolan8q@hubpages.com,8722.69,2712.42,2723.74,2889.28,1627.45,0.7383,0.371
316,Lane,Honeywood,lhoneywood8r@netscape.com,9747.4,4230.81,945.6,1043.97,1894.99,0.7985,0.5304
317,Mahalia,Rachuig,mrachuig8s@histats.com,5998.86,1413.27,2495.05,1818.09,374.87,0.6652,0.1506
318,Patrizia,Armall,parmall8t@com.com,3044.09,4256.43,1249.73,998.8,1999.42,0.5276,0.0871
319,Raffaello,Blucher,rblucher8u@unicef.org,10930.15,3506.08,3356.94,2508.83,1929.96,0.9721,0.9544
320,Seymour,Older,solder8v@bloomberg.com,7855.72,,573.11,1667.08,,0.8475,0.934
321,Teddi,Lornsen,tlornsen8w@jimdo.com,2800.23,4916.71,2385.3,1663.07,887.54,0.6129,0.2366
322,Derrek,Lloyds,dlloyds8x@dailymail.co.uk,8290.01,3688.93,1109.77,540.39,1115.0,0.9306,0.6257
323,Marty,Glossop,mglossop8y@eepurl.com,3293.16,1014.87,3430.34,367.97,1637.78,0.7445,0.6499
324,Victoir,Lorraine,vlorraine8z@edublogs.org,11656.08,1811.43,136.42,620.87,44.73,0.72,0.5551
325,Francisco,Ivannikov,fivannikov90@ucla.edu,1910.47,367.74,1167.24,,1847.72,0.6216,
326,Dolly,Rangall,drangall91@nps.gov,4255.4,3029.63,3889.11,2849.78,1432.47,,0.2722
327,Piotr,Toolan,ptoolan92@scribd.com,8229.26,4720.9,2531.38,1502.87,33.83,0.2137,0.5471
328,Euphemia,Worland,eworland93@unc.edu,653.04,2783.22,1453.83,1587.79,423.03,0.1278,0.0116
329,Ramsay,Comusso,rcomusso94@google.com.br,9237.09,1269.39,3810.26,1480.4,1155.61,0.7143,0.0307
330,Kimbra,Sherrott,ksherrott95@parallels.com,2302.99,2415.2,2778.61,2877.92,1460.01,0.2903,0.545
331,Brigg,Ghelardi,bghelardi96@w3.org,3150.98,650.82,1017.69,2548.27,1722.47,0.4769,0.359
332,Ira,Rollinshaw,irollinshaw97@chron.com,8013.04,745.64,788.48,300.1,1414.75,0.6663,0.4642
333,Morena,Figurski,mfigurski98@guardian.co.uk,,104.14,1078.33,1456.34,1405.01,0.762,0.5219
334,Zia,Whitecross,zwhitecross99@narod.ru,8445.76,3046.1,64.9,1552.71,1707.37,0.2998,0.0728
335,Devon,Screase,dscrease9a@histats.com,8284.68,3412.36,3.12,691.71,576.75,0.866,0.956
336,Martha,Colombier,mcolombier9b@example.com,5961.45,1718.85,1414.53,2123.78,1297.01,0.2728,0.7209
337,Cloe,Nalder,cnalder9c@e-recht24.de,553.59,4364.01,749.59,918.52,587.39,0.3666,0.0142
338,Ilyssa,Basten,ibasten9d@google.ru,2717.67,1337.65,1479.55,1612.53,1668.75,0.3159,0.5705
339,Antonie,Chance,achance9e@sogou.com,4903.34,3497.07,3954.36,2546.1,1603.6,0.0169,0.5557
340,Mahalia,Yakovich,myakovich9f@nsw.gov.au,5029.45,4041.9,2414.47,889.41,256.45,0.536,0.814
341,Ashlee,Panniers,apanniers9g@histats.com,4000.64,3169.85,851.88,795.95,655.13,0.9035,0.2533
342,Charlene,Seadon,cseadon9h@unicef.org,9411.4,3438.55,1461.69,1453.52,1668.56,,0.0866
343,Archibaldo,Crighton,acrighton9i@theglobeandmail.com,8728.57,3375.82,2742.78,1563.04,984.96,0.7911,0.6717
344,Pace,Cobb,pcobb9j@telegraph.co.uk,504.69,982.52,3534.88,82.51,1112.86,0.5065,0.8113
345,Doralynn,Claussen,dclaussen9k@istockphoto.com,4403.1,1445.49,419.88,,1231.12,0.2564,
346,Lenka,Pershouse,lpershouse9l@dropbox.com,552.39,1141.49,1835.51,683.15,1335.05,0.8102,0.6006
347,Ofella,Ghent,oghent9m@netlog.com,5092.51,3959.54,747.93,903.22,479.7,0.6834,0.4795
348,Leandra,Southwick,lsouthwick9n@soup.io,5607.33,1208.03,3167.3,1212.53,1070.5,0.5779,0.9176
349,Ernestus,Howieson,ehowieson9o@51.la,8426.37,,2979.13,2956.11,,0.9171,0.656
350,Alvera,Giffin,agiffin9p@behance.net,1413.67,981.01,2318.98,2127.45,351.61,0.6158,0.5216
351,Carlynn,Olech,colech9q@e-recht24.de,236.92,2688.0,3819.08,1670.99,515.43,0.3046,0.5386
352,Lazare,Jamson,ljamson9r@surveymonkey.com,3889.35,2772.79,1354.46,932.63,824.97,0.5084,0.2965
353,Raffaello,Riddle,rriddle9s@twitpic.com,11423.38,1977.52,3173.63,,1444.67,0.4786,
354,Horton,Fitzgerald,hfitzgerald9t@mtv.com,1393.62,4217.67,307.34,,341.39,0.4466,
355,Ingeberg,Grimditch,igrimditch9u@washingtonpost.com,3327.74,1007.88,2826.98,28.67,1417.69,0.8392,0.2262
356,Weston,O'Collopy,wocollopy9v@hibu.com,4997.47,2218.05,2344.69,2146.84,529.02,0.4647,0.4509
357,Jess,Goodridge,jgoodridge9w@paginegialle.it,4393.17,1085.18,,771.62,196.65,0.8724,0.0874
358,Ruth,Lishmund,rlishmund9x@tamu.edu,119.15,2324.21,,773.04,961.71,0.7973,0.04
359,Etty,Pyott,epyott9y@lulu.com,1962.71,4636.67,939.38,991.4,72.17,0.5686,0.4623
360,Chadd,Stamper,cstamper9z@fda.gov,1596.55,2638.07,2712.05,2884.84,185.39,0.413,0.3311
361,Corene,Eam,ceama0@mapy.cz,2882.78,2977.64,876.21,1477.39,346.32,0.2795,0.0084
362,Jenine,Duchesne,jduchesnea1@redcross.org,10897.52,871.04,3893.45,1300.74,1553.14,0.3916,0.0051
363,Kali,De-Ville,kdevillea2@mail.ru,1558.28,3875.86,1774.06,1383.25,1225.68,0.1189,0.6037
364,Vaughan,Hubach,vhubacha3@miibeian.gov.cn,8570.88,3039.85,1785.65,2758.57,1665.69,0.7353,0.6823
365,Antonius,Olivera,aoliveraa4@google.de,8339.86,1517.43,286.44,1268.67,1016.06,0.1508,0.58
366,Eleonora,Gilhooly,egilhoolya5@discuz.net,6963.53,1900.98,2747.31,83.59,1849.31,0.1419,0.0298
367,Johannah,McMarquis,jmcmarquisa6@biblegateway.com,149.4,1614.46,1516.07,1044.97,222.74,,0.7215
368,Quinn,Yesinin,qyesinina7@freewebs.com,9384.07,1721.36,1300.97,1488.34,1318.44,0.9631,0.2617
369,Tessa,Hurdis,thurdisa8@timesonline.co.uk,3310.93,3446.75,3452.92,1760.88,1221.8,0.1451,0.1336
370,Madlin,Thacke,mthackea9@reuters.com,8821.39,1736.29,1176.01,2134.37,340.67,0.8054,0.5637
371,Fawnia,Clemont,fclemontaa@nsw.gov.au,8822.92,,2339.85,1124.38,,0.0773,0.3659
372,Koenraad,Swansborough,kswansboroughab@hubpages.com,330.0,1388.99,3819.93,1822.99,957.32,0.2356,0.3034
373,Germain,Costen,gcostenac@ehow.com,10895.69,2132.27,3139.3,826.44,1503.6,0.422,0.9193
374,Andrey,Gascoigne,agascoignead@stanford.edu,6634.34,912.91,967.12,1031.14,1265.7,0.421,0.1442
375,Ced,Quant,cquantae@is.gd,6874.98,128.93,837.52,2393.73,1109.53,0.8846,0.7066
376,Byrann,Vasiliev,bvasilievaf@ca.gov,315.75,3634.99,2270.95,1563.81,56.52,0.9457,0.4265
377,Marcelline,Gilmour,mgilmourag@go.com,6015.8,521.06,1917.5,,1558.1,0.0327,
378,Tarrah,Bendel,tbendelah@sina.com.cn,346.82,3704.25,,1516.51,968.78,0.0265,0.3199
379,Staffard,Sewill,ssewillai@independent.co.uk,8449.54,2711.57,539.65,,950.54,0.6837,
380,Mallissa,Osgerby,mosgerbyaj@loc.gov,5174.74,134.15,3829.82,1577.61,1623.6,0.8377,0.0178
381,Horatio,Kopisch,hkopischak@barnesandnoble.com,1440.83,1706.96,806.65,2922.82,324.78,0.8229,0.4649
382,Adi,Capinetti,acapinettial@irs.gov,1788.24,1190.71,,806.73,614.54,,0.3008
383,Lloyd,Bedome,lbedomeam@slashdot.org,3462.12,2943.51,1011.63,29.44,835.34,0.8066,0.2729
384,Linell,Merfin,lmerfinan@epa.gov,8893.31,4048.62,2621.3,2222.88,46.02,0.267,0.5581
385,Andy,MacKartan,amackartanao@netvibes.com,9844.8,2835.25,2432.58,2616.72,1566.4,0.3606,0.1982
386,Deonne,MacGillreich,dmacgillreichap@whitehouse.gov,1506.1,1771.71,1997.83,438.83,898.94,0.3316,0.1295
387,Sholom,Stuchburie,sstuchburieaq@ibm.com,2716.58,336.83,,329.04,1573.2,0.7809,0.2673
388,Margarethe,Stedell,mstedellar@china.com.cn,4461.83,3870.73,2500.95,2958.43,1375.97,,0.199
389,Ellary,Gillespie,egillespieas@huffingtonpost.com,9843.33,239.79,2682.87,103.69,1481.43,,0.9238
390,Grata,Covil,gcovilat@so-net.ne.jp,1193.38,2077.6,946.43,1840.53,1037.59,0.974,0.1375
391,Danya,Cone,dconeau@storify.com,3465.94,4239.03,3727.53,2579.6,564.6,0.4577,0.9629
392,Hillyer,Belchambers,hbelchambersav@example.com,11282.06,2824.3,2124.83,1665.99,7.34,0.8191,0.5855
393,Eileen,Mabbe,emabbeaw@jimdo.com,2973.37,1399.43,2643.9,139.44,1598.83,0.0071,0.4775
394,Toiboid,Matiashvili,tmatiashviliax@youtube.com,11553.99,926.33,801.34,541.08,668.79,0.0446,0.1246
395,Benito,Blaydon,bblaydonay@japanpost.jp,6361.97,565.53,1644.85,1732.64,1116.5,0.8893,0.4519
396,Trudi,Dipple,tdippleaz@wisc.edu,11282.85,3465.71,1735.01,2827.06,307.91,0.7293,0.0333
397,Mildrid,Gumey,mgumeyb0@imdb.com,5254.31,2397.91,2463.02,2054.06,321.37,0.5955,0.2986
398,Harli,Clowney,hclowneyb1@topsy.com,3798.9,1008.31,1048.87,2414.5,1722.18,0.237,0.7107
399,Blayne,Andrasch,bandraschb2@printfriendly.com,,2547.62,712.56,2035.75,1305.26,0.4742,0.0234
400,Fairleigh,Crawley,fcrawleyb3@yellowbook.com,7278.57,3557.05,2230.21,1476.62,1571.83,0.761,0.4509
401,Hyacinth,Webster,hwebsterb4@amazon.co.uk,1751.72,3776.3,2807.94,1543.54,1701.05,0.4689,0.6616
402,Peria,Frew,pfrewb5@imageshack.us,6657.62,2027.11,713.37,1421.91,1071.14,0.6236,0.3141
403,Victoria,Rizziello,vrizziellob6@clickbank.net,6871.11,4173.0,2346.41,250.66,264.73,0.56,0.7908
404,Tyne,Menauteau,tmenauteaub7@umn.edu,7416.84,565.17,3816.32,,1882.54,0.1707,
405,Tobit,Spuner,tspunerb8@blogtalkradio.com,8991.35,3639.74,3920.81,2463.7,1229.87,0.1024,0.353
406,Patrick,Filippucci,pfilippuccib9@shop-pro.jp,4072.56,4547.4,,1837.44,1209.76,0.1331,0.4224
407,Ernie,Commings,ecommingsba@comcast.net,10584.7,2137.84,941.98,428.7,1156.66,0.8628,0.9857
408,Reynard,De Haven,rdehavenbb@barnesandnoble.com,7912.23,4664.54,2354.55,2781.7,1643.07,0.8061,0.6015
409,Ondrea,Maddyson,omaddysonbc@va.gov,8543.08,2537.67,2359.34,1169.23,412.71,0.4494,0.0495
410,Dyanna,Hartzog,dhartzogbd@google.com.au,6656.27,1571.74,2682.77,680.14,1312.26,0.8075,0.3563
411,Jedd,Scouse,jscousebe@github.io,9714.33,614.68,2756.84,227.21,909.73,0.619,0.0503
412,Gibbie,Rhys,grhysbf@google.pl,5151.08,1593.29,3560.42,2118.39,1474.89,0.7189,0.1804
413,Jeannette,Wyllcocks,jwyllcocksbg@reverbnation.com,118.98,355.6,3603.85,1962.96,1813.16,0.3735,0.5774
414,Blanca,Twyning,btwyningbh@hhs.gov,2697.8,513.76,,238.12,795.08,0.6102,0.6397
415,Billie,Terzi,bterzibi@biglobe.ne.jp,8544.79,390.76,2909.41,1972.76,1797.73,0.16,0.9766
416,Marys,Geggie,mgeggiebj@joomla.org,7533.41,1244.12,3990.0,2742.66,1089.42,0.723,0.3108
417,Ashlan,O'Hanlon,aohanlonbk@cafepress.com,1904.48,4387.89,1467.99,664.8,736.22,0.5553,0.731
418,Caryn,Putterill,cputterillbl@bbc.co.uk,10185.11,3372.82,3964.97,404.34,1593.07,0.8984,0.1157
419,Nessy,Minot,nminotbm@house.gov,,4822.54,2734.92,187.43,1286.34,0.7121,0.3194
420,Jorrie,Gawthrope,jgawthropebn@reddit.com,8759.28,2102.36,2626.96,28.66,1971.74,0.9509,0.4305
421,Jade,Millen,jmillenbo@tinyurl.com,648.39,3313.66,2629.77,2516.29,1115.46,0.276,0.927
422,Kristina,Steedman,ksteedmanbp@miibeian.gov.cn,6155.3,,593.57,2883.96,,0.9525,0.8233
423,Gusta,Keigher,gkeigherbq@icq.com,4283.0,4078.88,2731.34,2122.15,279.54,0.9381,0.3386
424,Filia,Shoulder,fshoulderbr@cnn.com,10261.2,894.63,1497.76,2692.57,1951.96,0.5508,0.4451
425,Clyde,Stathor,cstathorbs@hao123.com,,4412.01,,2393.17,973.2,0.991,0.1647
426,Ulrica,Kamall,ukamallbt@vimeo.com,6577.07,2780.29,2127.96,2775.7,1587.25,0.7914,0.5239
427,Terrie,Horder,thorderbu@bing.com,4008.53,724.99,686.16,1683.7,1909.69,0.242,0.7978
428,Emmie,Marusik,emarusikbv@flavors.me,99.9,1231.34,,,1004.84,0.8138,
429,Friederike,Snellman,fsnellmanbw@mlb.com,2033.7,2696.67,2424.53,1015.68,1998.51,0.3344,0.5196
430,Cammy,Kosiada,ckosiadabx@cbslocal.com,7620.36,3103.55,2948.91,2192.32,615.64,0.4928,0.8371
431,Zora,Conrad,zconradby@google.it,2995.97,,280.7,1972.36,,0.2549,0.9451
432,Cathie,Cuttelar,ccuttelarbz@mail.ru,5202.97,1448.19,153.29,1813.87,1104.92,0.3748,0.838
433,Jill,Tupie,jtupiec0@paypal.com,3861.14,,1861.37,47.58,,0.5251,0.3478
434,Nicolis,Copner,ncopnerc1@furl.net,6334.66,3601.02,,475.71,685.73,0.7052,0.4155
435,Nariko,Glencrosche,nglencroschec2@theglobeandmail.com,5950.15,1304.76,1225.42,60.76,1474.8,0.9726,0.8454
436,Malchy,Corbould,mcorbouldc3@privacy.gov.au,5974.57,2841.09,2601.62,652.49,501.03,0.6142,0.758
437,Missy,Bungey,mbungeyc4@cocolog-nifty.com,,3212.42,2399.56,1923.45,110.92,0.811,0.0437
438,Karlan,Gorriessen,kgorriessenc5@cloudflare.com,,,1042.98,2271.56,,0.4444,0.7616
439,Judy,Robiot,jrobiotc6@dmoz.org,72.59,4013.03,2397.0,2592.83,1948.44,0.4783,0.6622
440,Tades,Gorthy,tgorthyc7@mtv.com,2941.18,3951.89,1380.38,1841.28,1263.35,0.2341,0.8114
441,Emlyn,Kuhn,ekuhnc8@scribd.com,10904.67,298.16,3059.66,1132.72,108.0,,0.2876
442,Rawley,Blampy,rblampyc9@dyndns.org,11157.11,4325.75,3358.05,2122.34,1959.23,0.9021,0.6992
443,Elisha,Thresh,ethreshca@tumblr.com,6876.01,4631.67,3017.8,1470.7,1182.37,0.8608,0.8963
444,Lucilia,Ingall,lingallcb@ed.gov,7165.62,,3914.29,2739.67,,,0.5367
445,Nikos,Loweth,nlowethcc@webeden.co.uk,6546.58,1249.76,2652.98,2605.67,205.98,0.7867,0.6921
446,Howie,Corrin,hcorrincd@ning.com,5871.25,1808.93,452.4,2422.95,674.26,0.534,0.1088
447,Misha,Coffelt,mcoffeltce@scientificamerican.com,6233.6,4484.86,2522.87,236.73,1408.23,0.4515,0.8929
448,Brenden,Bonavia,bbonaviacf@opera.com,10827.7,1659.36,,2023.01,734.3,0.6385,0.5185
449,Adina,Blaxeland,ablaxelandcg@va.gov,9472.47,2433.26,289.41,2593.21,1796.11,0.4711,0.6777
450,Dorree,Laverty,dlavertych@ow.ly,6800.49,3664.15,1052.79,6.21,1253.13,0.5608,0.8079
451,Bella,Zuanelli,bzuanellici@ocn.ne.jp,3670.38,1788.51,3952.41,2341.28,730.2,0.567,0.0702
452,Kara,Lansdown,klansdowncj@webeden.co.uk,11100.17,3885.4,1655.22,318.46,1378.82,0.9644,0.7409
453,Persis,Lubbock,plubbockck@cargocollective.com,8664.93,1946.33,3163.56,1200.59,1839.76,0.1872,0.1904
454,Joletta,Potten,jpottencl@hugedomains.com,9084.0,1926.24,2444.38,2388.15,1342.38,0.9651,0.4468
455,Veronica,Orbell,vorbellcm@hibu.com,5250.44,1923.11,1012.32,107.79,746.1,0.3729,0.6428
456,Claudie,Perot,cperotcn@i2i.jp,4712.06,749.53,608.57,2961.27,332.93,0.8581,0.757
457,Renie,Selley,rselleyco@stumbleupon.com,9760.55,2275.82,1290.23,9.83,1674.24,0.2064,0.0891
458,Zach,Torrisi,ztorrisicp@issuu.com,3026.19,3826.71,1571.48,,1171.53,0.7782,
459,Maurizio,Reekie,mreekiecq@psu.edu,9184.94,293.78,1090.79,724.95,1053.86,0.6076,0.4284
460,Sibbie,Enevoldsen,senevoldsencr@biglobe.ne.jp,2975.67,1907.34,522.87,1493.3,812.18,0.934,0.9173
461,Cristina,Taplow,ctaplowcs@twitter.com,3683.54,1580.56,79.44,382.11,640.44,0.8725,0.2804
462,Hunt,Danielou,hdanielouct@netscape.com,6702.66,2673.7,3648.58,1624.34,210.25,0.7551,0.6441
463,Carlynn,Linforth,clinforthcu@europa.eu,425.39,1848.73,,909.84,1206.54,0.0391,0.7347
464,Ailee,Esby,aesbycv@goodreads.com,4789.12,861.75,233.64,2174.7,979.57,0.1113,0.624
465,Jocelyne,Lie,jliecw@oaic.gov.au,11235.18,1874.89,590.35,2854.89,1686.84,0.929,0.3599
466,Bevin,Bauser,bbausercx@va.gov,10305.63,2572.99,,2255.44,654.47,0.2285,0.497
467,Loralyn,Brearty,lbreartycy@barnesandnoble.com,11968.85,4857.83,1550.42,830.03,116.3,0.4048,0.1782
468,Durward,Wernher,dwernhercz@weibo.com,2586.61,3025.04,1659.69,1732.29,140.64,0.9134,0.3347
469,Rita,Lambertini,rlambertinid0@mac.com,9570.42,4920.48,1373.39,,662.2,0.1075,
470,Andras,Aspy,aaspyd1@ebay.co.uk,6788.04,631.68,2469.02,2473.88,136.87,0.4319,0.1248
471,Caldwell,Gilstoun,cgilstound2@fastcompany.com,9802.03,2650.83,61.64,603.57,272.49,0.2785,0.5077
472,Lora,Dacks,ldacksd3@paginegialle.it,,4003.99,2421.54,1187.18,35.82,0.0162,0.3343
473,Paxton,Brinkley,pbrinkleyd4@sciencedirect.com,1865.93,3713.08,3323.88,376.66,234.67,0.4114,0.788
474,Laughton,Farlam,lfarlamd5@cbsnews.com,7811.43,503.34,744.54,,323.96,0.4954,
